,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F)
20120421,55.9,30,22.6,29.9,8.1,12.0,248,0.48,0.86,0.00,69.4,42.9,66,13,30.024,29.776,21.9,32.2,74.9
20120422,50.1,49,28.3,30.1,3.6,5.6,38,0.48,0.86,0.00,68.8,29.0,87,16,30.201,29.964,20.7,20.7,75.2
20120423,53.1,40,25.0,30.0,2.1,3.7,337,0.48,0.86,0.00,74.3,30.6,77,12,30.147,29.753,15.0,21.9,74.7
20120424,56.1,33,22.8,29.7,4.8,7.4,254,0.48,0.86,0.00,74.2,35.2,62,12,29.881,29.500,25.3,34.5,74.9
20120425,53.8,34,23.6,29.7,2.6,4.4,252,0.48,0.86,0.00,69.3,35.5,55,15,29.851,29.648,18.4,21.9,74.5
20120426,55.3,48,34.5,29.6,4.9,7.4,203,0.54,0.92,0.01,67.8,43.9,81,20,29.814,29.349,18.4,27.6,77.8
20120427,45.9,43,22.9,29.5,12.7,19.3,251,0.54,0.92,0.00,51.4,31.3,88,22,29.803,29.325,28.8,42.6,51.4
20120428,39.2,34,9.6,29.9,10.7,15.6,245,0.54,0.92,0.00,54.8,25.6,80,13,29.956,29.776,28.8,42.6,54.8
20120429,40.7,48,19.5,29.9,4.6,6.8,237,0.54,0.92,0.00,57.8,22.7,83,15,30.005,29.828,20.7,32.2,57.8
20120430,49.0,31,13.6,29.8,7.1,10.5,240,0.54,0.92,0.00,66.0,23.3,73,11,30.014,29.524,20.7,35.7,70.6
2012051,55.7,28,21.2,29.5,10.3,14.7,232,0.00,0.92,0.00,63.4,48.6,54,17,29.554,29.386,25.3,33.4,63.4
2012052,51.8,48,31.1,29.6,6.5,9.8,251,0.12,1.04,0.01,65.4,39.1,81,23,29.769,29.533,21.9,31.1,75.6
2012053,54.7,43,28.5,29.7,3.1,5.3,277,0.12,1.04,0.00,69.3,32.8,88,18,29.917,29.525,15.0,19.6,76.5
2012054,61.6,18,15.5,29.6,7.3,10.7,239,0.12,1.04,0.00,76.0,44.2,34,7,29.691,29.482,21.9,31.1,75.0
2012055,60.9,17,13.9,29.6,8.9,12.9,235,0.12,1.04,0.00,73.8,44.5,38,8,29.774,29.466,24.2,32.2,73.6
2012056,39.9,56,23.6,30.0,2.9,5.2,77,0.21,1.13,0.01,50.5,28.5,91,23,30.215,29.774,12.7,17.3,50.5
2012057,36.2,86,32.3,30.2,3.5,5.3,54,0.33,1.25,0.01,42.6,33.0,92,67,30.313,30.120,12.7,16.1,42.6
2012058,41.9,61,27.3,30.2,1.9,3.7,82,0.34,1.26,0.01,57.0,23.8,92,30,30.348,30.022,10.4,13.8,57.0
2012059,50.1,43,22.0,29.9,3.6,5.8,193,0.34,1.26,0.00,72.3,26.7,89,13,30.114,29.690,16.1,20.7,74.2
20120510,56.7,27,18.1,29.6,6.2,9.2,244,0.34,1.26,0.00,74.6,32.1,67,10,29.780,29.477,20.7,27.6,74.5
20120511,36.5,77,29.5,30.1,2.9,4.6,70,0.38,1.30,0.01,54.6,32.1,92,39,30.298,29.562,11.5,17.3,54.6
20120512,40.3,82,34.8,30.3,2.6,4.1,55,0.53,1.45,0.01,55.4,30.4,94,41,30.368,30.117,18.4,21.9,55.4
20120513,41.4,75,33.2,30.2,2.4,4.1,321,0.59,1.51,0.01,53.8,31.2,94,37,30.309,30.137,10.4,17.3,53.8
20120514,47.6,46,20.3,30.2,2.0,3.6,77,0.59,1.51,0.00,68.9,23.6,90,10,30.343,29.952,12.7,19.6,72.5
20120515,53.2,33,20.5,30.0,2.5,4.6,98,0.59,1.51,0.00,70.4,30.1,69,11,30.150,29.861,12.7,16.1,74.0
20120516,56.3,34,25.3,29.8,6.8,10.0,229,0.59,1.51,0.00,72.9,37.6,57,11,29.921,29.580,20.7,34.5,74.5
20120517,59.4,32,28.5,29.6,7.5,10.8,234,0.59,1.51,0.00,73.5,43.9,60,17,29.691,29.450,23.0,31.1,76.2
20120518,55.3,38,25.7,29.5,5.4,8.4,247,0.59,1.51,0.00,72.0,36.3,72,13,29.590,29.383,27.6,42.6,75.9
20120519,42.6,79,35.9,29.8,3.0,4.6,61,0.99,1.91,0.01,52.8,33.5,92,41,30.200,29.429,23.0,34.5,52.8
20120520,47.2,63,32.8,30.1,2.6,4.3,239,1.00,1.92,0.01,62.4,29.8,94,27,30.264,30.009,17.3,26.5,62.4
20120521,56.1,43,27.8,30.0,2.6,4.5,262,1.00,1.92,0.00,76.6,32.1,86,13,30.151,29.750,16.1,31.1,76.4
20120522,59.9,33,23.5,29.6,5.1,7.8,239,1.00,1.92,0.00,80.3,36.3,72,8,29.777,29.271,24.2,34.5,78.3
20120523,48.4,61,33.8,29.4,2.3,4.1,97,1.22,2.14,0.01,55.3,39.8,89,22,29.545,29.256,11.5,12.7,55.3
20120524,44.1,55,26.9,29.6,6.4,9.5,235,1.22,2.14,0.00,54.4,36.2,91,24,29.794,29.499,23.0,33.4,54.4
20120525,43.6,76,36.3,29.7,2.0,3.6,248,1.22,2.14,0.00,49.9,38.2,90,66,29.788,29.670,6.9,11.5,49.9
20120526,57.7,48,31.7,29.5,5.5,9.3,188,1.22,2.14,0.00,75.1,34.9,93,10,29.775,29.149,24.2,35.7,78.2
20120527,49.4,19,8.1,29.6,11.7,17.3,241,1.22,2.14,0.00,58.3,42.5,37,10,29.801,29.296,28.8,38.0,58.3
20120528,52.8,23,14.6,29.8,12.6,18.4,245,1.22,2.14,0.00,65.2,43.1,37,10,29.908,29.641,29.9,43.7,71.0
20120529,51.0,35,21.7,29.9,2.3,4.1,318,1.22,2.14,0.00,69.9,30.1,60,12,30.028,29.755,13.8,24.2,75.6
20120530,55.2,39,26.3,29.8,4.4,7.1,286,1.22,2.14,0.00,73.5,34.1,69,13,29.884,29.669,18.4,26.5,76.8
20120531,51.3,55,34.6,29.9,3.0,4.9,59,1.22,2.14,0.00,64.2,34.9,83,33,29.946,29.807,13.8,19.6,64.2
2012061,59.3,44,34.9,29.7,5.9,8.7,280,0.00,2.14,0.00,73.0,38.9,84,21,29.827,29.606,17.3,26.5,78.6
2012062,56.3,57,39.1,29.7,4.5,6.6,329,0.13,2.27,0.01,80.9,37.6,88,19,29.854,29.493,25.3,34.5,79.1
2012063,65.2,35,35.2,29.6,3.8,6.0,209,0.13,2.27,0.00,78.8,49.5,65,16,29.778,29.498,17.3,24.2,78.5
2012064,64.2,40,33.7,29.7,3.0,5.5,123,0.13,2.27,0.00,81.8,40.9,80,12,29.891,29.517,12.7,26.5,79.5
2012065,59.6,54,41.2,29.6,2.7,4.5,56,0.26,2.40,0.02,74.4,43.3,80,25,29.662,29.456,15.0,19.6,78.8
2012066,60.4,52,39.3,29.6,4.4,6.9,76,0.26,2.40,0.00,74.7,40.5,87,16,29.686,29.438,15.0,24.2,79.1
2012067,62.5,60,47.2,29.6,3.8,6.0,48,0.26,2.40,0.00,74.4,51.7,85,31,29.713,29.565,15.0,19.6,79.0
2012068,66.6,39,31.4,29.5,5.6,8.5,230,0.26,2.40,0.00,83.2,45.5,89,7,29.753,29.279,17.3,32.2,80.5
2012069,73.4,11,15.5,29.2,11.2,16.5,241,0.26,2.40,0.00,83.6,64.0,15,7,29.338,29.083,25.3,35.7,80.8
20120610,59.4,16,11.5,29.5,11.4,16.5,235,0.26,2.40,0.00,68.8,48.9,33,8,29.857,29.085,27.6,36.8,71.7
20120611,56.8,22,17.5,29.9,5.1,8.1,204,0.26,2.40,0.00,68.4,40.4,67,11,29.991,29.783,15.0,24.2,73.9
20120612,58.6,28,19.2,29.9,3.9,6.3,253,0.26,2.40,0.00,75.3,33.7,80,9,30.034,29.661,17.3,25.3,74.8
20120613,63.6,22,17.1,29.6,4.7,7.1,235,0.26,2.40,0.00,82.4,36.0,71,7,29.845,29.374,20.7,27.6,79.9
20120614,61.0,30,27.8,29.6,3.5,5.8,82,0.26,2.40,0.00,77.7,39.9,70,16,29.784,29.493,17.3,25.3,77.3
20120615,62.0,43,37.3,29.7,3.3,5.4,21,0.27,2.41,0.01,78.5,46.8,84,18,29.779,29.523,19.6,26.5,79.0
20120616,58.8,51,40.2,29.8,2.9,4.9,51,0.27,2.41,0.00,72.0,41.3,85,27,29.941,29.719,17.3,26.5,79.2
20120617,68.0,29,23.9,29.6,9.7,14.7,249,0.27,2.41,0.00,83.6,39.6,79,7,29.863,29.279,26.5,42.6,80.8
20120618,74.3,13,17.9,29.3,7.8,11.4,234,0.27,2.41,0.00,85.3,53.2,48,7,29.413,29.179,21.9,32.2,82.1
20120619,74.5,13,19.4,29.2,8.8,13.5,239,0.27,2.41,0.00,85.5,61.8,32,7,29.355,29.185,21.9,29.9,82.4
20120620,57.9,44,35.4,29.7,4.5,7.3,69,0.27,2.41,0.00,66.3,44.9,68,19,29.981,29.331,18.4,21.9,79.1
20120621,62.9,38,35.4,29.8,2.9,5.0,77,0.27,2.41,0.00,77.9,45.4,58,21,30.066,29.649,16.1,19.6,79.0
20120622,70.2,28,23.1,29.5,6.5,9.7,237,0.27,2.41,0.00,89.0,41.5,83,5,29.741,29.261,25.3,34.5,85.2
20120623,76.3,12,17.7,29.4,7.4,10.9,242,0.27,2.41,0.00,90.8,54.4,40,6,29.554,29.254,27.6,35.7,86.7
20120624,75.3,17,25.8,29.6,3.7,5.9,236,0.27,2.41,0.00,90.3,58.3,52,9,29.683,29.517,16.1,21.9,86.1
20120625,73.0,26,31.6,29.6,3.6,5.9,223,0.27,2.41,0.00,90.6,47.9,80,9,29.776,29.387,27.6,40.3,86.4
20120626,74.9,22,31.8,29.4,7.4,10.9,238,0.27,2.41,0.00,88.0,53.3,54,13,29.560,29.286,23.0,34.5,84.3
20120627,71.4,38,40.7,29.5,7.0,10.6,242,0.38,2.52,0.01,86.0,54.7,82,16,29.707,29.333,23.0,29.9,82.7
20120628,63.6,58,45.1,29.8,3.5,5.5,221,0.44,2.58,0.01,87.2,46.5,93,15,29.968,29.664,17.3,27.6,83.6
20120629,70.5,32,35.7,29.7,5.2,8.0,255,0.44,2.58,0.00,86.6,50.2,80,11,29.884,29.563,21.9,33.4,83.1
20120630,68.6,30,32.2,29.7,3.9,5.9,242,0.44,2.58,0.00,85.1,45.2,80,9,29.834,29.538,21.9,27.6,81.9
2012071,70.4,31,31.9,29.6,3.1,5.1,102,0.00,2.58,0.00,91.8,46.5,81,6,29.752,29.458,18.4,26.5,87.4
2012072,66.4,47,41.7,29.6,3.6,5.5,319,0.07,2.65,0.01,86.5,47.4,90,12,29.755,29.509,15.0,21.9,83.0
2012073,65.4,57,46.2,29.6,2.0,3.6,307,0.08,2.66,0.01,87.6,48.3,93,17,29.776,29.514,10.4,16.1,84.1
2012074,70.9,34,37.2,29.6,3.5,5.7,61,0.08,2.66,0.00,86.7,52.8,74,11,29.649,29.473,17.3,24.2,83.2
2012075,67.2,52,48.1,29.6,4.0,6.3,244,0.08,2.66,0.00,83.6,56.6,83,28,29.667,29.486,16.1,26.5,81.8
2012076,63.0,63,47.8,29.8,3.6,5.7,224,1.33,3.91,0.02,78.6,54.2,93,29,30.014,29.514,15.0,19.6,79.1
2012077,57.2,88,53.7,30.0,1.5,2.6,17,3.00,5.58,0.05,64.7,53.8,94,69,30.060,29.904,10.4,13.8,72.2
2012078,58.8,84,53.8,30.0,1.9,3.3,66,3.30,5.88,0.03,65.4,54.7,94,61,30.052,29.953,10.4,12.7,74.9
2012079,60.4,75,51.7,30.0,2.3,4.1,73,3.31,5.89,0.01,70.6,50.8,94,53,30.065,29.950,11.5,16.1,77.7
20120710,61.7,68,50.2,29.9,1.9,3.7,78,3.31,5.89,0.00,73.0,47.4,94,44,30.039,29.818,13.8,17.3,78.6
20120711,63.5,58,45.8,29.9,3.0,4.9,39,3.32,5.90,0.01,79.2,46.5,94,25,29.935,29.744,18.4,25.3,78.5
20120712,66.2,50,43.8,29.8,2.8,4.6,7,3.32,5.90,0.00,83.4,47.7,93,15,29.860,29.711,17.3,25.3,80.8
20120713,66.7,46,40.8,29.8,2.5,4.4,95,3.32,5.90,0.00,81.8,46.4,92,17,29.923,29.730,11.5,18.4,79.8
20120714,65.5,46,41.6,29.8,3.8,6.4,239,3.32,5.90,0.00,80.3,46.4,91,20,29.893,29.646,16.1,25.3,78.9
20120715,68.0,44,44.0,29.7,6.1,9.3,241,3.50,6.08,0.03,81.4,52.8,87,23,29.825,29.553,20.7,28.8,79.9
20120716,64.5,53,45.1,29.7,4.4,6.7,234,3.54,6.12,0.01,79.9,49.8,90,25,29.799,29.527,18.4,25.3,79.5
20120717,66.8,46,44.4,29.7,5.1,7.8,243,3.54,6.12,0.00,78.1,53.9,85,27,29.756,29.578,16.1,24.2,79.0
20120718,66.4,48,41.8,29.8,2.1,3.6,145,3.54,6.12,0.00,83.8,46.0,94,14,29.872,29.700,18.4,25.3,81.3
20120719,64.8,55,46.2,29.8,1.5,2.6,263,3.69,6.27,0.02,85.5,46.4,92,16,29.959,29.737,10.4,18.4,82.6
20120720,69.0,46,43.3,29.8,2.9,4.8,245,3.69,6.27,0.00,84.0,47.6,93,19,29.979,29.701,13.8,19.6,81.7
20120721,68.1,47,45.4,29.8,2.7,4.5,308,3.71,6.29,0.01,85.9,47.9,90,22,29.938,29.666,17.3,25.3,83.2
20120722,64.5,56,46.7,29.9,3.2,5.2,292,3.79,6.37,0.01,82.7,48.8,90,26,30.008,29.728,15.0,27.6,81.1
20120723,66.8,55,46.4,29.8,4.1,6.2,206,3.82,6.40,0.01,82.4,51.0,95,19,29.948,29.654,25.3,34.5,80.6
20120724,65.3,55,46.0,29.7,3.8,6.0,234,3.98,6.56,0.01,82.4,47.4,90,25,29.810,29.559,20.7,26.5,80.6
20120725,64.2,57,47.2,29.7,6.6,9.8,237,4.06,6.64,0.01,79.0,54.5,89,25,29.810,29.564,23.0,34.5,79.0
20120726,62.9,62,48.0,29.8,2.4,3.9,54,4.06,6.64,0.00,77.2,46.1,94,33,29.924,29.751,16.1,19.6,78.2
20120727,63.0,60,46.6,29.9,2.5,4.3,213,4.14,6.72,0.02,80.4,47.4,94,24,29.950,29.740,11.5,19.6,79.4
20120728,65.5,55,48.0,29.8,4.5,7.0,264,4.30,6.88,0.03,79.2,53.2,80,27,29.926,29.741,20.7,31.1,79.1
20120729,62.1,70,50.8,29.9,2.6,4.2,242,4.40,6.98,0.01,79.2,51.6,93,28,30.001,29.790,12.7,17.3,78.8
20120730,60.2,73,50.5,29.9,2.2,3.7,327,4.48,7.06,0.01,77.4,49.8,94,39,29.997,29.801,17.3,25.3,78.6
20120731,66.5,53,45.0,29.8,3.3,5.5,257,4.48,7.06,0.00,83.9,47.6,93,18,29.972,29.708,18.4,26.5,81.4
2012081,67.9,45,44.5,29.7,6.2,9.3,251,0.07,7.13,0.02,81.0,53.9,86,24,29.786,29.615,16.1,26.5,79.6
2012082,67.7,42,42.7,29.7,3.8,6.3,239,0.08,7.14,0.01,79.1,53.2,70,22,29.791,29.596,15.0,25.3,79.0
2012083,69.6,29,34.1,29.6,7.0,10.7,245,0.08,7.14,0.00,80.5,57.6,56,15,29.696,29.502,31.1,41.4,79.2
2012084,59.4,57,43.1,29.9,3.7,6.0,71,0.08,7.14,0.00,70.3,48.5,77,36,30.028,29.661,13.8,19.6,79.1
2012085,63.5,49,39.7,30.0,2.2,3.9,93,0.08,7.14,0.00,82.0,41.2,87,17,30.114,29.791,12.7,17.3,79.9
2012086,67.6,43,41.7,29.9,5.9,8.7,268,0.22,7.28,0.01,87.2,52.3,85,17,29.965,29.748,19.6,26.5,83.7
2012087,64.9,53,44.8,29.9,2.8,4.5,11,0.23,7.29,0.01,80.7,50.7,91,23,29.970,29.836,16.1,19.6,79.4
2012088,63.8,40,34.9,30.0,1.8,3.4,61,0.23,7.29,0.00,82.9,42.3,77,15,30.109,29.875,11.5,16.1,80.5
2012089,64.1,44,39.7,29.9,2.4,3.7,23,0.23,7.29,0.00,83.0,43.3,73,18,30.013,29.723,13.8,19.6,80.9
20120810,65.9,52,45.4,29.8,2.2,3.9,75,0.26,7.32,0.01,82.5,54.1,86,22,29.883,29.657,12.7,19.6,80.4
20120811,67.3,40,40.8,29.7,5.4,8.5,256,0.26,7.32,0.00,81.2,53.6,86,17,29.912,29.560,24.2,34.5,79.4
20120812,60.7,47,37.9,29.9,2.1,3.9,84,0.26,7.32,0.00,75.4,41.6,80,25,30.044,29.881,13.8,19.6,79.1
20120813,58.4,53,39.2,29.9,4.4,6.8,257,0.26,7.32,0.00,75.1,42.6,78,24,29.975,29.757,18.4,26.5,79.1
20120814,63.2,44,36.3,29.8,2.4,4.1,258,0.26,7.32,0.00,82.2,42.3,83,13,29.888,29.597,12.7,19.6,79.9
20120815,66.1,37,36.3,29.7,5.4,7.9,241,0.26,7.32,0.00,82.8,50.5,76,14,29.870,29.546,16.1,31.1,80.2
20120816,54.7,70,44.9,29.9,3.2,5.1,57,0.26,7.32,0.00,64.1,46.2,86,54,30.012,29.792,15.0,19.6,64.1
20120817,58.6,60,40.4,29.9,2.9,4.7,13,0.29,7.35,0.01,82.8,38.9,93,13,30.013,29.741,18.4,24.2,80.3
20120818,57.4,55,38.3,29.9,2.8,4.7,57,0.29,7.35,0.00,72.7,41.6,89,26,29.997,29.745,13.8,19.6,78.8
20120819,57.1,46,32.8,29.9,2.9,4.9,85,0.29,7.35,0.00,75.1,35.0,84,21,30.046,29.817,13.8,20.7,78.0
20120820,56.4,51,35.9,29.8,2.7,4.3,315,0.29,7.35,0.00,73.5,41.5,79,20,29.966,29.796,26.5,38.0,79.0
20120821,58.8,51,36.8,29.9,1.7,3.1,99,0.29,7.35,0.00,77.4,38.8,88,20,30.077,29.761,12.7,18.4,79.0
20120822,61.2,48,39.2,29.8,4.4,6.8,248,0.30,7.36,0.01,79.2,44.6,78,23,29.853,29.623,18.4,26.5,79.1
20120823,58.7,76,50.1,29.7,1.7,2.9,273,0.70,7.76,0.04,73.8,49.9,93,37,29.793,29.638,19.6,25.3,78.7
20120824,60.0,61,42.7,29.7,2.9,4.5,328,0.74,7.80,0.01,79.6,45.2,94,19,29.808,29.577,20.7,34.5,78.9
20120825,62.2,41,36.8,29.7,3.5,5.9,97,0.74,7.80,0.00,73.3,48.5,74,26,29.870,29.548,13.8,18.4,79.0
20120826,60.5,44,32.9,29.9,2.0,3.4,22,0.74,7.80,0.00,82.6,39.3,86,13,29.995,29.811,12.7,17.3,80.1
20120827,63.0,43,37.6,29.9,3.5,5.2,256,0.74,7.80,0.00,83.4,43.1,75,17,30.054,29.810,18.4,25.3,80.8
20120828,62.8,55,44.4,29.9,2.9,4.5,324,0.76,7.82,0.01,85.1,47.9,80,21,29.994,29.784,16.1,20.7,82.2
20120829,67.0,44,41.0,29.8,5.2,7.8,239,0.76,7.82,0.00,85.0,47.3,82,16,29.942,29.588,20.7,27.6,82.1
20120830,62.8,50,42.6,29.7,3.6,5.6,251,0.77,7.83,0.01,84.9,50.7,76,19,29.893,29.581,16.1,26.5,82.0
20120831,64.4,45,38.1,29.8,2.3,4.2,166,0.77,7.83,0.00,81.6,45.7,84,15,29.919,29.696,11.5,17.3,79.5
2012091,65.5,43,39.7,29.7,4.0,6.2,230,0.00,7.83,0.00,81.9,46.5,76,18,29.885,29.674,20.7,31.1,79.9
2012092,67.6,36,37.6,29.7,6.0,8.7,221,0.00,7.83,0.00,79.9,54.7,74,14,29.798,29.637,16.1,20.7,79.1
2012093,60.4,44,35.7,29.8,5.2,7.8,242,0.00,7.83,0.00,76.6,46.7,75,17,30.015,29.770,26.5,35.7,79.1
2012094,61.5,34,24.7,29.9,4.1,7.0,265,0.00,7.83,0.00,82.2,38.8,76,10,30.022,29.696,18.4,29.9,79.8
2012095,59.8,25,20.3,29.8,3.0,5.1,293,0.00,7.83,0.00,82.0,40.3,52,8,30.004,29.733,12.7,20.7,79.6
2012096,59.4,30,23.6,29.8,3.8,6.1,254,0.00,7.83,0.00,80.7,35.8,68,11,30.029,29.658,16.1,26.5,78.7
2012097,51.1,72,41.5,30.0,2.7,4.4,55,0.11,7.94,0.01,60.9,40.3,92,27,30.219,29.687,13.8,18.4,60.9
2012098,52.0,57,33.3,30.2,2.0,3.5,45,0.12,7.95,0.01,73.5,32.4,93,16,30.354,30.044,12.7,17.3,77.1
2012099,56.8,44,28.5,30.0,1.8,3.5,144,0.12,7.95,0.00,78.5,33.5,89,11,30.184,29.783,9.2,16.1,77.2
20120910,65.2,28,27.9,29.7,5.1,7.9,241,0.12,7.95,0.00,81.6,41.2,70,14,29.829,29.523,17.3,21.9,79.4
20120911,57.4,55,38.6,29.7,3.8,5.9,240,0.50,8.33,0.01,73.2,46.1,92,24,29.839,29.630,17.3,25.3,79.0
20120912,48.7,90,46.0,30.0,2.1,3.7,72,0.59,8.42,0.01,50.8,45.5,94,83,30.215,29.715,8.1,11.5,50.8
20120913,49.8,66,36.3,30.3,2.1,3.7,40,0.60,8.43,0.01,66.8,33.8,94,24,30.410,30.169,11.5,16.1,78.3
20120914,50.3,55,30.9,30.3,1.6,3.2,149,0.61,8.44,0.01,67.9,31.6,92,18,30.463,30.106,8.1,12.7,76.2
20120915,55.1,42,25.0,30.0,2.3,4.0,279,0.61,8.44,0.00,80.5,31.3,84,9,30.258,29.875,13.8,20.7,78.5
20120916,56.5,29,20.2,29.9,2.7,4.6,281,0.61,8.44,0.00,77.4,37.6,66,10,30.032,29.750,17.3,24.2,76.4
20120917,49.2,65,37.4,29.9,3.4,5.3,50,0.61,8.44,0.00,58.6,36.5,89,31,30.075,29.750,16.1,19.6,58.6
20120918,53.3,49,27.9,30.0,3.1,5.3,251,0.62,8.45,0.01,75.6,30.7,92,12,30.219,29.812,12.7,18.4,75.6
20120919,59.1,28,23.7,29.9,4.6,6.9,217,0.62,8.45,0.00,72.5,41.3,58,14,30.000,29.741,15.0,24.2,75.9
20120920,53.1,42,26.7,30.0,2.1,3.7,72,0.62,8.45,0.00,72.8,33.1,81,15,30.097,29.890,13.8,18.4,75.9
20120921,52.2,45,27.8,30.0,2.0,3.5,69,0.62,8.45,0.00,73.3,32.8,78,18,30.162,29.928,11.5,17.3,75.6
20120922,52.5,46,28.3,30.1,2.1,3.7,53,0.62,8.45,0.00,73.4,32.5,82,15,30.241,29.952,13.8,18.4,76.2
20120923,56.3,40,26.2,30.0,3.8,5.9,246,0.62,8.45,0.00,78.9,33.1,80,11,30.167,29.744,17.3,26.5,77.5
20120924,57.1,47,36.0,29.8,5.1,7.7,252,0.66,8.49,0.01,68.6,46.1,78,26,29.833,29.654,17.3,24.2,77.3
20120925,46.9,75,38.5,29.9,3.3,5.1,290,0.80,8.63,0.01,63.1,35.2,91,39,29.948,29.751,13.8,19.6,63.1
20120926,47.0,84,42.2,30.0,1.9,3.2,358,1.31,9.15,0.06,54.2,43.5,92,69,30.043,29.806,8.1,11.5,54.2
20120927,45.4,83,40.3,30.1,1.6,2.8,4,1.33,9.17,0.01,60.5,35.6,94,44,30.146,29.920,18.4,21.9,60.5
20120928,47.4,71,37.0,30.1,1.3,2.6,97,1.34,9.18,0.01,64.5,32.5,94,29,30.220,29.942,10.4,13.8,79.1
20120929,49.6,62,33.7,30.0,1.3,2.5,155,1.35,9.19,0.01,69.8,32.8,94,18,30.179,29.922,10.4,12.7,77.3
20120930,53.5,47,31.5,30.0,3.7,5.8,329,1.35,9.19,0.00,68.3,39.9,75,20,30.086,29.913,15.0,20.7,76.5
2012101,50.7,59,35.8,30.0,2.1,3.8,82,0.00,9.19,0.00,63.1,36.8,83,34,30.166,29.947,11.5,13.8,63.1
2012102,57.5,35,24.1,29.8,7.2,10.5,239,0.00,9.19,0.00,74.9,32.4,93,11,30.029,29.571,19.6,29.9,74.9
2012103,56.0,32,22.4,29.7,7.7,12.1,247,0.00,9.19,0.00,70.6,32.4,80,12,30.068,29.508,24.2,39.1,73.7
2012104,32.0,73,24.1,30.2,2.5,4.5,86,0.00,9.19,0.00,35.8,27.6,80,63,30.324,30.011,8.1,11.5,35.8
2012105,30.6,80,25.1,30.2,3.7,5.7,60,0.02,9.21,0.01,44.2,26.9,91,56,30.339,30.086,17.3,21.9,44.2
2012106,28.4,76,21.3,30.3,3.3,5.6,72,0.02,9.21,0.00,41.8,24.4,90,27,30.382,30.174,17.3,21.9,41.8
2012107,32.4,55,15.7,30.2,2.3,4.1,65,0.02,9.21,0.00,47.6,14.0,86,19,30.418,29.957,11.5,13.8,47.6
2012108,51.5,13,2.1,29.8,7.9,12.1,241,0.02,9.21,0.00,65.8,32.8,35,8,29.998,29.613,19.6,28.8,69.3
2012109,42.2,53,22.9,29.8,6.8,10.4,58,0.02,9.21,0.00,52.3,28.1,86,15,30.154,29.553,20.7,29.9,52.3
20121010,43.9,50,19.6,30.1,4.1,6.8,261,0.02,9.21,0.00,70.3,22.4,90,12,30.262,29.845,21.9,33.4,72.8
20121011,45.3,53,27.7,30.0,3.2,4.7,18,0.02,9.21,0.00,67.4,33.4,83,19,30.188,29.811,17.3,20.7,76.5
20121012,46.0,62,31.8,29.9,3.3,5.3,246,0.03,9.22,0.01,67.1,30.9,86,23,30.087,29.651,18.4,27.6,76.2
20121013,45.3,54,29.3,29.8,8.0,12.4,257,0.08,9.27,0.01,58.3,38.3,81,34,30.002,29.612,19.6,33.4,58.3
20121014,49.1,45,27.5,30.1,7.6,11.7,250,0.08,9.27,0.00,57.7,35.8,73,28,30.164,29.966,18.4,27.6,57.7
20121015,55.7,30,23.6,29.8,11.9,17.3,241,0.08,9.27,0.00,65.5,48.3,43,17,29.966,29.584,25.3,36.8,73.7
20121016,53.2,39,27.0,29.5,11.2,16.9,242,0.20,9.39,0.01,65.8,39.2,86,22,29.662,29.294,27.6,41.4,74.5
20121017,39.5,26,6.8,29.7,13.3,21.5,259,0.20,9.39,0.00,45.0,33.5,40,15,29.913,29.430,27.6,46.0,45.0
20121018,44.8,23,8.5,29.9,10.8,16.4,239,0.20,9.39,0.00,54.4,34.4,31,14,29.989,29.894,24.2,34.5,54.4
20121019,53.5,21,13.6,29.8,11.2,16.1,237,0.20,9.39,0.00,64.3,45.2,29,11,29.920,29.625,25.3,35.7,64.3
20121020,55.3,21,14.9,29.6,6.7,9.7,242,0.20,9.39,0.00,67.3,45.2,31,13,29.743,29.419,18.4,26.5,71.8
20121021,49.9,29,17.4,29.6,3.5,5.7,299,0.20,9.39,0.00,66.4,32.4,61,14,29.835,29.509,17.3,28.8,73.7
20121022,48.0,40,20.4,29.7,5.6,8.6,234,0.20,9.39,0.00,66.4,26.6,79,15,29.918,29.429,25.3,33.4,73.3
20121023,54.0,24,16.9,29.5,9.3,13.5,237,0.20,9.39,0.00,62.6,43.9,47,12,29.653,29.382,27.6,42.6,62.6
20121024,35.9,72,27.3,29.8,3.5,5.5,57,0.21,9.40,0.01,45.7,24.1,92,46,29.997,29.624,10.4,13.8,45.7
20121025,24.3,85,20.3,30.2,2.0,3.4,72,0.40,9.59,0.01,32.5,19.4,89,71,30.349,29.999,13.8,17.3,32.5
20121026,23.8,72,15.2,30.4,2.9,4.5,253,0.57,9.76,0.01,34.1,15.6,88,33,30.583,30.189,17.3,24.2,34.1
20121027,33.8,44,13.8,30.1,7.7,11.9,245,0.57,9.76,0.00,40.9,23.3,64,32,30.223,30.015,26.5,39.1,40.9
20121028,44.1,44,23.4,30.0,8.8,12.9,215,0.57,9.76,0.00,53.9,33.5,59,32,30.107,29.850,24.2,34.5,53.9
